taxonID,chl_category,chl_source,mean_body_length,sd_body_length,n_obs,mean_chl
CALSP1,Oligotrophic (<5),Discrete samples,0.6779771241830065,NA,153,2.451311003357572
CALSP1,Oligotrophic (<5),Sensor data,0.6879137931034482,NA,145,2.884585331479811
CALSP1,Mesotrophic (5-15),Discrete samples,0.6984588235294118,NA,85,8.068888888888889
CALSP1,Mesotrophic (5-15),Sensor data,0.7156111111111111,NA,36,11.44918425884288
CALSP1,Meso-eutrophic (15-30),Discrete samples,0.6455454545454545,NA,11,18.784242424242425
CALSP1,Meso-eutrophic (15-30),Sensor data,0.7006857142857142,NA,70,17.828536667240108
CALSP1,Eutrophic (30-75),Discrete samples,0.7510188679245283,NA,53,49.021433962264155
CALSP1,Eutrophic (30-75),Sensor data,0.7252068965517241,NA,29,34.72628323603999
CALSP1,Hypertrophic (>75),Discrete samples,0.7678571428571429,NA,14,131.59809523809525
CYCSP,Oligotrophic (<5),Discrete samples,0.5420395683453237,NA,139,2.301928113353473
CYCSP,Oligotrophic (<5),Sensor data,0.57262,NA,125,2.7921840334935935
CYCSP,Mesotrophic (5-15),Discrete samples,0.563064935064935,NA,77,8.277925685425686
CYCSP,Mesotrophic (5-15),Sensor data,0.5677241379310345,NA,29,10.988014364329485
CYCSP,Meso-eutrophic (15-30),Discrete samples,0.7276666666666667,NA,3,16.738333333333333
CYCSP,Meso-eutrophic (15-30),Sensor data,0.5465,NA,60,17.89150299356942
CYCSP,Eutrophic (30-75),Discrete samples,0.5781538461538461,NA,39,46.34253846153846
CYCSP,Eutrophic (30-75),Sensor data,0.58264,NA,25,34.61028451935833
CYCSP,Hypertrophic (>75),Discrete samples,0.614,NA,15,129.81555555555556
CYCSP1,Oligotrophic (<5),Discrete samples,0.6413409090909091,NA,44,2.493429752066116
CYCSP1,Oligotrophic (<5),Sensor data,0.6221041666666667,NA,48,2.9865797708294273
CYCSP1,Mesotrophic (5-15),Discrete samples,0.5622,NA,30,7.386259259259258
CYCSP1,Mesotrophic (5-15),Sensor data,0.658923076923077,NA,13,12.638479827602596
CYCSP1,Meso-eutrophic (15-30),Discrete samples,0.7499411764705882,NA,17,20.268529411764707
CYCSP1,Meso-eutrophic (15-30),Sensor data,0.5564333333333333,NA,30,20.909682765667124
