siteID,namedLocation,collectDate,taxonID,mean_body_length,min_body_length,max_body_length,mean_body_width,count_per_bottle,count_per_liter,sampler_type,aquatic_site_type,year,month,temp_mean,match_type
BARC,BARC.AOS.littoral1,2014-07-02,ACRHAR,0.375,0.375,0.375,NA,74,0.14079147640791476,tow net,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral2,2014-07-02,ACRHAR,0.556,0.55,0.575,NA,53,2.2083333333333335,Schindler-Patalas,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.buoy.c0,2014-07-02,CALSP1,0.565,0.375,0.85,NA,7009,10.21422325852521,tow net,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral1,2014-07-02,CALSP1,0.725,0.55,0.875,NA,15985,30.412861491628615,tow net,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral2,2014-07-02,CALSP1,0.875,0.875,0.875,NA,9,0.375,Schindler-Patalas,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral2,2014-07-02,CHYSPH,0.25,0.225,0.275,NA,35,1.4583333333333333,Schindler-Patalas,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.buoy.c0,2014-07-02,CYCSP,0.388,0.35,0.425,NA,219,0.3191489361702127,tow net,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral1,2014-07-02,CYCSP,0.4,0.375,0.425,NA,149,0.2834855403348554,tow net,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral2,2014-07-02,CYCSP,0.5,0.425,0.575,NA,193,8.041666666666666,Schindler-Patalas,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.buoy.c0,2014-07-02,DIPPRO,0.188,0.188,0.188,NA,31,0.04517633343048673,tow net,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral1,2014-07-02,GASSTY,0.062,0.062,0.062,NA,74,0.14079147640791476,tow net,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.buoy.c0,2014-07-02,HESAUG,1.021,0.9,1.075,NA,876,1.276595744680851,tow net,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral1,2014-07-02,HESAUG,1.005,0.9,1.075,NA,2156,4.101978691019787,tow net,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral2,2014-07-02,LATOCC1,0.55,0.55,0.55,NA,9,0.375,Schindler-Patalas,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.buoy.c0,2014-07-02,LECINE,0.125,0.125,0.125,NA,125,0.18216263480034975,tow net,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral2,2014-07-02,LECINE,0.125,0.125,0.125,NA,9,0.375,Schindler-Patalas,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral2,2014-07-02,LECLEO,0.175,0.175,0.175,NA,9,0.375,Schindler-Patalas,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.buoy.c0,2014-07-02,LECMIR,0.112,0.112,0.112,NA,31,0.04517633343048673,tow net,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral1,2014-07-02,LECMIR,0.112,0.112,0.112,NA,297,0.5650684931506849,tow net,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral2,2014-07-02,LECMIR,0.112,0.112,0.112,NA,9,0.375,Schindler-Patalas,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.buoy.c0,2014-07-02,LEPSP32,0.062,0.062,0.062,NA,31,0.04517633343048673,tow net,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral2,2014-07-02,LEPSP32,0.062,0.062,0.062,NA,35,1.4583333333333333,Schindler-Patalas,lake,2014,7,31.50325934463865,same_month_all_years
BARC,BARC.AOS.littoral2,2014-07-02,MACSP4,0.362,0.35,0.375,NA,35,1.4583333333333333,Schindler-Patalas,lake,2014,7,31.50325934463865,same_month_all_years
