taxonID,mean_length_mm,std_dev,min_length,max_length,n_samples,avg_density_per_L
COPSP,0.18713957597173145,0.0862740472927987,0.08,1.4125,566,46.77369834915934
CALSP1,0.6817941176470589,0.20226727096590677,0.305,2.04,425,15.802269178755212
CYCSP,0.5577710997442455,0.16675270257623953,0.188,1.425,391,18.479051885553805
POLSP20,0.10727476038338658,0.04706703384559661,0.05,0.642,314,65.47216219928738
KERCOC,0.11706806282722514,0.0678323587655721,0.06675,1,192,28.866492159010452
MESEDA,1.0706785714285714,0.22613318996746862,0.7375,2.142,189,5.034774831725898
DIASP10,0.5857786885245901,0.15519232638793437,0.19,1.175,183,10.993047540003571
KERTAU,0.15938333333333332,0.039317185319558606,0.08,0.3,181,37.96977774271486
TROPRA1,0.4689817880794702,0.054525422964412915,0.375,0.675,152,3.13346714823793
KELLON,0.16117857142857142,0.1215813827485032,0.1,1.256,140,12.285471791424444
KERSP,0.11116428571428572,0.024805897046128053,0.05,0.21000000000000002,140,47.5978229763929
CONUNI,0.12640977443609022,0.05689836215444013,0.075,0.33999999999999997,135,20.637911633633518
LEPSIC,1.0822874015748032,0.1387501111065627,0.6065,1.686,127,30.37406332232268
BOSLON,0.277304,0.10500479820065979,0.16249999999999998,1,125,27.324131535234418
CYCSP1,0.6328911290322581,0.16608333152395824,0.2,1.1275,124,4.020130234583991
DAPSP1,0.7922142857142858,0.33239736896654853,0.2,2.012,119,4.222409896158084
TRISP31,0.2332457627118644,0.10836028749024643,0.069,1,118,3.4503931830192283
ARCFLO,1.0058418803418803,0.07678125134759654,0.806,1.3,117,8.983291443510199
CONSP8,0.15460909090909092,0.058210681174812734,0.075,0.35,116,47.910637842088065
BRAANG,0.12681481481481482,0.12174514887171956,0.07,1.005,108,318.3883727239416
GASSTY,0.10098584905660378,0.08532217535534052,0.062,0.95,107,4.547415106208678
SYNSP8,0.150775,0.03801922526694869,0.0875,0.26,101,15.307630935533005
DAPAMB,0.7672386363636364,0.1274801759948672,0.36,1.174,88,6.631763095113712
KERQUA,0.13667941176470588,0.04847254088541219,0.09,0.545,85,345.39130704031993
LEPMIN,0.8917666666666667,0.10490646842362544,0.5800000000000001,1.1,75,4.083352960494451
FILLON,0.13904225352112676,0.02225208601439316,0.08,0.2,72,139.50860704116366
BDESP,0.19289,0.07420670867411448,0.1,0.505,68,1.568195695902267
BRAHAV,0.1213409090909091,0.11130240024680195,0.08,1,66,158.9645369217287
KERCRA,0.1633984375,0.018475461995104192,0.1,0.2,65,18.356257687692985
COLSP12,0.11387755102040817,0.07459100500201674,0.01,0.35,64,5.231522868416565
ASPSP4,0.4267539682539683,0.14652028024925953,0.095,0.725,63,3.280118813540451
EUBTUB,0.3385119047619048,0.051775851198035426,0.25,0.5,63,4.303014883832019
HOLGIB,0.7769444444444444,0.39519810376397047,0.3,2.3,63,2.2659496396344316
DIASP,1.0966129032258065,0.2054459447743371,0.569,1.573,62,9.908432560186403
